lbias,lbp,lbn,lin1,lin2,ltn,ltp,vcmo,mamp,fbias,fbp,fbn,fin1,fin2,ftn1,ftn2,ftp1,ftp2,cload,cin,cout,gain,gm,pole1,pole2,rout,cmo,pwr,swing14,swing7,swingn,swingn1,swingn4,swingp,irn
0.00000036,0.00000035,0.0000005,0.00000036,0.00000029,0.00000031,0.00000013,0.42,22,4,8,9,3,4,5,7,7,10,1.00E-012,4.42E-013,1.02E-013,55.0035,0.00105395,275825,717083000,533770,0.416558,-0.000525209,0.588897,0.0314053,-0.000213528,0.251348,-0.0596587,0.381263,9.09E-010
0.00000006,0.00000026,0.00000023,0.00000046,0.0000002,0.0000003,0.0000001,0.5,14,2,10,10,8,3,10,2,7,9,1.00E-012,6.16E-013,6.04E-014,28.6801,0.000547376,3068090,1018830000,49627.1,0.497057,-0.000545728,0.532588,-0.01835,0.0330514,0.309269,-0.0236616,0.345476,1.07E-009
0.00000042,0.00000053,0.00000039,0.00000013,0.00000017,0.00000011,0.00000034,0.44,11,8,9,10,8,3,9,5,8,4,1.00E-012,1.51E-013,7.54E-014,41.1963,0.000710281,933406,856387000,161579,0.436232,-0.000342625,0.514925,-0.0609282,-0.0242056,0.326431,-0.0158515,0.39807,1.42E-009
0.00000052,0.00000032,0.00000016,0.00000047,0.00000042,0.00000056,0.0000001,0.58,84,2,8,8,8,9,9,10,3,2,1.00E-012,2.6E-011,2.73E-013,55.3617,0.00317762,684039,706474000,184495,0.575582,-0.00148094,0.457982,-0.0343974,0.063488,0.385122,-0.0297807,0.297348,4.1E-010
0.0000005,0.00000031,0.00000059,0.00000025,0.00000034,0.00000005,0.00000016,0.58,85,7,4,6,4,5,10,8,6,7,1.00E-012,2.16E-012,1.76E-013,36.5669,0.00378199,7678770,1495660000,17808.4,0.555714,-0.0054665,0.668126,-0.0817656,0.130704,0.20474,-0.0333836,0.179462,4.77E-010
0.00000057,0.00000044,0.00000039,0.0000004,0.00000044,0.00000015,0.00000049,0.46,58,4,10,3,5,3,5,4,3,4,1.00E-012,1.79E-012,1.8E-013,66.965,0.00170246,104186,478314000,1309700,0.455795,-0.000617902,0.668181,0.102589,0.13319,0.19248,-0.0258715,0.24609,5.37E-010
0.00000023,0.00000012,0.00000018,0.00000043,0.0000004,0.0000005,0.00000046,0.6,29,7,10,6,8,5,3,3,3,9,1.00E-012,1.4E-012,1.06E-013,57.38,0.000908293,179132,57640400,814278,0.596613,-0.000234733,0.549425,0.208353,0.187661,0.291341,-0.0131857,0.0604647,4.32E-008
0.0000005,0.00000058,0.00000058,0.00000037,0.00000035,0.00000048,0.0000004,0.42,24,4,10,9,7,6,6,2,2,9,1.00E-012,8.37E-013,1.37E-013,51.2937,0.000703365,272952,312675000,521801,0.41637,-0.000188298,0.534722,0.0399334,-0.0198993,0.3149,0.0272959,0.38869,0.000000001
0.00000026,0.00000013,0.00000032,0.00000056,0.00000017,0.00000008,0.00000021,0.48,51,6,4,3,6,5,2,7,3,2,1.00E-012,3.16E-012,7.82E-014,69.0959,0.00425313,220210,1082730000,670016,0.476637,-0.00117147,0.696793,0.143804,0.184497,0.166541,-0.0213632,0.189663,4.78E-010
0.00000025,0.0000006,0.00000026,0.00000028,0.00000009,0.00000014,0.00000021,0.56,28,5,7,8,9,5,7,6,10,6,1.00E-012,1.11E-012,8.74E-014,51.9431,0.00144285,539651,786608000,274115,0.556389,-0.000834974,0.475227,-0.081916,0.0513487,0.381496,0.0223633,0.307667,7.72E-010
