fbias,lbias,fin,fp,lin,lp,vcmo,mamp,cload,cin,cout,gain,gm,pole1,rout,zero,cmo,pwr,swingn,swingp
53,0.00000066,50,50,0.00000041,0.00000014,0.48,84,1.00E-012,1.88E-013,4.83E-014,43.0573,0.0010172,22948400,139785,3258100000,0.471758,-0.00028463,0.386083,0.453431
43,0.00000066,125,10,0.00000016,0.00000041,0.6,65,1.00E-012,2.26E-013,3.94E-014,37.3558,0.00381201,204847000,19347.9,40559900000,0.536104,-0.00132937,0.450656,0.0295169
49,0.00000056,45,155,0.00000008,0.00000044,0.5,6,1.00E-012,1.43E-013,8.09E-014,38.6905,0.00617211,107455000,13934.5,132309000000,0.490468,-0.00162791,0.404829,0.353511
56,0.00000062,165,95,0.00000049,0.00000013,0.44,94,1.00E-012,6.96E-013,7.9E-014,43.7539,0.00278389,35026300,55340.6,2519940000,0.431838,-0.000701775,0.346129,0.487092
66,0.00000032,20,15,0.00000006,0.00000017,0.5,2,1.00E-012,4.14E-014,3.74E-014,30.801,0.00416209,463272000,8331.77,236004000000,0.491504,-0.00128629,0.403802,0.271815
61,0.00000022,180,50,0.00000046,0.00000027,0.46,86,1.00E-012,8.33E-013,6.83E-014,45.8778,0.00322287,36184800,61044.3,2563320000,0.454852,-0.000919955,0.369154,0.397465
23,0.00000038,125,15,0.00000014,0.00000021,0.44,6,1.00E-012,2.99E-013,3.49E-014,44.1525,0.00758372,199966000,21268.9,38738100000,0.432274,-0.00196893,0.346982,0.221347
77,0.0000005,55,120,0.00000036,0.00000052,0.54,32,1.00E-012,2.06E-013,8.47E-014,46.3314,0.00128197,10948400,161693,8212470000,0.531061,-0.000386931,0.445412,0.371882
29,0.00000066,165,55,0.00000057,0.00000025,0.46,40,1.00E-012,8.59E-013,5.64E-014,48.952,0.00236674,22836700,118426,1733790000,0.453913,-0.000578653,0.368179,0.42494
67,0.0000003,145,115,0.00000045,0.00000007,0.48,45,1.00E-012,5.45E-013,8.7E-014,32.3177,0.00271124,108957000,15230.6,3250780000,0.474278,-0.000764954,0.388584,0.46411
43,0.00000076,175,90,0.00000007,0.00000018,0.52,20,1.00E-012,2.55E-013,7.4E-014,35.0641,0.0279278,836406000,2028.46,160173000000,0.444449,-0.0075737,0.358716,0.302164
35,0.00000054,105,80,0.0000001,0.00000043,0.52,27,1.00E-012,3.55E-013,5.92E-014,42.1919,0.0103415,166969000,12445.5,88825100000,0.507594,-0.00261804,0.422184,0.233783
50,0.00000064,195,130,0.00000011,0.00000015,0.56,65,1.00E-012,3.43E-013,9.7E-014,41.7703,0.0173629,218109000,7061.41,67361500000,0.542946,-0.0043202,0.457484,0.303963
16,0.00000026,40,165,0.00000029,0.00000023,0.6,2,1.00E-012,1.09E-013,7.87E-014,45.0603,0.0011783,12951000,151970,12427200000,0.596209,-0.000316408,0.510602,0.337753
44,0.00000042,175,145,0.00000031,0.00000009,0.56,100,1.00E-012,5E-013,9.51E-014,38.3547,0.00474638,91568800,17433.1,6321200000,0.553758,-0.0011837,0.468141,0.373568
57,0.00000016,150,85,0.00000006,0.00000006,0.42,84,1.00E-012,1.64E-013,7.23E-014,26.2047,0.0318291,2896310000,641.812,163083000000,0.415386,-0.00948045,0.32891,0.442789
80,0.00000054,150,165,0.00000033,0.00000057,0.58,63,1.00E-012,8.02E-013,1.16E-013,49.1885,0.00382537,16872500,75292.8,9758060000,0.569867,-0.000979268,0.484235,0.294945
24,0.0000008,100,110,0.00000032,0.00000011,0.54,65,1.00E-012,3.02E-013,6.59E-014,41.4748,0.00263755,51570400,44930.5,6273180000,0.533765,-0.000640658,0.448142,0.394229
96,0.0000003,85,10,0.00000042,0.00000048,0.46,100,1.00E-012,5.14E-013,5.55E-014,43.8067,0.00163601,28763300,94743.9,4328110000,0.452463,-0.000571,0.366784,0.246361
15,0.00000066,110,105,0.00000009,0.00000049,0.5,94,1.00E-012,3.68E-013,5.7E-014,40.6863,0.0123783,212635000,8742.9,107414000000,0.479489,-0.00316891,0.394106,0.25459
87,0.00000044,30,15,0.00000025,0.00000035,0.58,17,1.00E-012,1.21E-013,4.72E-014,43.6013,0.0010288,22100600,147142,14730800000,0.570946,-0.000354141,0.485376,0.257229
