vcdl_n_width,vcdl_p_width,tc_n_width,tc_p_width,vdd,fmin,fmax,pmin,pmax
4.5e-07,8e-07,1.365e-06,2.09e-06,0.8,4557782740.1066,7091026678.1039,0.0018954,0.0028978
4.5e-07,8e-07,1.365e-06,2.09e-06,0.9,4170216996.6634,8144035747.3323,0.0025455,0.0042015
4.5e-07,8e-07,1.43e-06,1.71e-06,0.8,4387776207.4426,8751690999.4466,0.0018297,0.0027021
4.5e-07,8e-07,1.43e-06,1.805e-06,0.8,4686885113.7043,8509573455.3609,0.0018791,0.0027502
4.5e-07,8e-07,1.43e-06,1.9e-06,0.8,4658946142.6072,8329751121.291,0.0018949,0.0027967
4.5e-07,8e-07,1.43e-06,1.995e-06,0.8,4629140827.9625,7532317838.7095,0.0019267,0.0028418
4.5e-07,8e-07,1.43e-06,2.09e-06,0.8,4606133983.1633,7376682143.4083,0.0019436,0.0028737
4.5e-07,8.4e-07,1.17e-06,1.71e-06,0.8,5026271307.1701,6897028252.8039,0.0017873,0.002871
4.5e-07,8.4e-07,1.17e-06,1.71e-06,0.9,4514737027.8854,9036333013.3431,0.0024374,0.0041286
4.5e-07,8.4e-07,1.17e-06,1.71e-06,1.0,4225280491.0475,8849254849.5055,0.0034442,0.0055297
4.5e-07,8.4e-07,1.17e-06,1.805e-06,0.8,4719638879.0641,6826081487.7525,0.0018355,0.0029011
4.5e-07,8.4e-07,1.17e-06,1.805e-06,0.9,4276943854.6724,7860058202.0951,0.0024672,0.0041733
4.5e-07,8.4e-07,1.17e-06,1.805e-06,1.0,4018670024.0906,8716233100.8622,0.0034525,0.0056673
4.5e-07,8.4e-07,1.17e-06,1.9e-06,0.8,4689438441.5291,6760553279.8892,0.0018903,0.0029127
4.5e-07,8.4e-07,1.17e-06,1.9e-06,0.9,4260675845.7698,7819083853.3936,0.0025039,0.004215
4.5e-07,8.4e-07,1.17e-06,1.9e-06,1.0,4006422110.5528,8663954517.4317,0.0034622,0.0057642
4.5e-07,8.4e-07,1.17e-06,1.995e-06,0.8,4659911404.6473,6697600474.9567,0.001911,0.0029234
4.5e-07,8.4e-07,1.17e-06,1.995e-06,0.9,4242558905.1987,7779183229.0374,0.0025403,0.0042449
4.5e-07,8.4e-07,1.17e-06,1.995e-06,1.0,3992733503.3505,8643752007.5348,0.0034782,0.0058371
4.5e-07,8.4e-07,1.17e-06,2.09e-06,0.8,4641825494.5224,6637226374.5412,0.0019202,0.0029374
4.5e-07,8.4e-07,1.17e-06,2.09e-06,0.9,4233444455.8091,7721537336.9841,0.0025777,0.0042645
4.5e-07,8.4e-07,1.17e-06,2.09e-06,1.0,3986377679.9836,8600477496.0942,0.0035051,0.0058884
4.5e-07,8.4e-07,1.235e-06,1.71e-06,0.8,4448342350.1854,7121926713.1882,0.0017821,0.0028324
4.5e-07,8.4e-07,1.235e-06,1.71e-06,0.9,4053949163.7703,8186868590.6254,0.0024342,0.0041025
4.5e-07,8.4e-07,1.235e-06,1.71e-06,1.0,3821990376.1854,9836846064.6517,0.0034542,0.0053235
4.5e-07,8.4e-07,1.235e-06,1.805e-06,0.8,4652398868.7328,7120113144.404,0.0018093,0.0028703
4.5e-07,8.4e-07,1.235e-06,1.805e-06,0.9,4228352806.4283,8024140999.3818,0.0024734,0.0041462
4.5e-07,8.4e-07,1.235e-06,1.805e-06,1.0,3978575089.0621,9218202485.3983,0.0034481,0.0055232
4.5e-07,8.4e-07,1.235e-06,1.9e-06,0.8,4642879732.531,6909946957.3347,0.0018478,0.0029097
4.5e-07,8.4e-07,1.235e-06,1.9e-06,0.9,4224402672.3346,7985877143.3871,0.0025218,0.0041887
4.5e-07,8.4e-07,1.235e-06,1.995e-06,0.8,4627111429.143,6911347443.6737,0.0018988,0.0029303
4.5e-07,8.4e-07,1.235e-06,1.995e-06,0.9,4213943480.9789,7952295301.3381,0.0025789,0.0042322
4.5e-07,8.4e-07,1.235e-06,1.995e-06,1.0,3969515267.5857,8821388030.0579,0.0034492,0.0058127
4.5e-07,8.4e-07,1.235e-06,2.09e-06,0.8,4606222696.8994,6666648888.3677,0.0019622,0.0029389
4.5e-07,8.4e-07,1.235e-06,2.09e-06,0.9,4199450183.5683,7687405285.7664,0.0026362,0.0042715
