nf_cap,nf_load,res,nf_dif,delay,delay0
19.0,14.0,3300.0,20.0,3.81112e-10,1.88034e-10
16.0,19.0,2700.0,20.0,2.8461e-10,1.48811e-10
17.0,14.0,2600.0,19.0,3.133e-10,1.59231e-10
11.0,18.0,2700.0,18.0,1.56123e-10,9.26428e-11
17.0,11.0,3100.0,12.0,3.05332e-10,1.49071e-10
15.0,13.0,2900.0,21.0,2.56568e-10,1.37383e-10
21.0,20.0,3400.0,15.0,4.51857e-10,2.13307e-10
20.0,12.0,3000.0,15.0,4.12035e-10,1.95863e-10
21.0,12.0,3700.0,14.0,4.49271e-10,2.10007e-10
17.0,17.0,2900.0,15.0,3.09661e-10,1.54699e-10
16.0,16.0,2900.0,16.0,2.79352e-10,1.42667e-10
19.0,19.0,4000.0,12.0,3.74872e-10,1.79033e-10
18.0,20.0,4000.0,18.0,3.45907e-10,1.72717e-10
17.0,19.0,2800.0,13.0,3.08181e-10,1.52601e-10
21.0,15.0,4000.0,12.0,4.4882e-10,2.08446e-10
17.0,21.0,3700.0,12.0,3.07886e-10,1.51957e-10
18.0,17.0,2900.0,16.0,3.42931e-10,1.69079e-10
14.0,15.0,2600.0,21.0,2.2976e-10,1.26288e-10
12.0,18.0,3200.0,20.0,1.80454e-10,1.04799e-10
19.0,17.0,3000.0,19.0,3.80751e-10,1.87538e-10
15.0,11.0,3400.0,16.0,2.49845e-10,1.29818e-10
12.0,13.0,3200.0,21.0,1.81243e-10,1.05421e-10
20.0,11.0,2700.0,21.0,4.18216e-10,2.04017e-10
18.0,19.0,2700.0,12.0,3.39799e-10,1.64454e-10
17.0,12.0,2100.0,16.0,3.08907e-10,1.54076e-10
15.0,15.0,2200.0,19.0,2.53911e-10,1.34615e-10
14.0,11.0,3700.0,11.0,2.17349e-10,1.11984e-10
13.0,12.0,2200.0,13.0,1.93684e-10,1.03672e-10
19.0,19.0,3700.0,14.0,3.7624e-10,1.81351e-10
11.0,19.0,3300.0,15.0,1.53275e-10,8.95705e-11
17.0,18.0,3000.0,17.0,3.11907e-10,1.57526e-10
16.0,15.0,2800.0,15.0,2.78443e-10,1.41475e-10
12.0,12.0,4000.0,15.0,1.73259e-10,9.69868e-11
11.0,16.0,3200.0,13.0,1.49827e-10,8.59034e-11
20.0,18.0,3400.0,12.0,4.10847e-10,1.93346e-10
12.0,11.0,2400.0,11.0,1.67762e-10,9.09467e-11
16.0,19.0,3300.0,20.0,2.84885e-10,1.49061e-10
14.0,12.0,3400.0,16.0,2.22808e-10,1.18571e-10
11.0,14.0,3600.0,20.0,1.58193e-10,9.45977e-11
19.0,11.0,3200.0,12.0,3.72862e-10,1.76768e-10
13.0,14.0,2600.0,19.0,2.01767e-10,1.12564e-10
13.0,21.0,3500.0,19.0,2.03742e-10,1.14716e-10
14.0,19.0,2400.0,12.0,2.1961e-10,1.14826e-10
14.0,13.0,3000.0,13.0,2.19764e-10,1.15014e-10
18.0,12.0,2800.0,16.0,3.4191e-10,1.67875e-10
14.0,11.0,2400.0,14.0,2.19949e-10,1.15349e-10
19.0,13.0,2700.0,17.0,3.77858e-10,1.83904e-10
11.0,19.0,2800.0,13.0,1.50647e-10,8.67795e-11
14.0,15.0,2900.0,19.0,2.27362e-10,1.23677e-10
18.0,17.0,3100.0,11.0,3.3913e-10,1.63205e-10
14.0,13.0,3700.0,17.0,2.24751e-10,1.20692e-10
12.0,18.0,3300.0,17.0,1.76983e-10,1.0113e-10
19.0,16.0,3400.0,19.0,3.80638e-10,1.87387e-10
15.0,21.0,2500.0,12.0,2.47409e-10,1.26765e-10
12.0,21.0,2600.0,15.0,1.75126e-10,9.91647e-11
12.0,16.0,2600.0,18.0,1.77196e-10,1.01393e-10
12.0,12.0,3000.0,13.0,1.70497e-10,9.40231e-11
19.0,20.0,2300.0,12.0,3.74398e-10,1.78548e-10
14.0,15.0,2300.0,18.0,2.25455e-10,1.21693e-10
16.0,17.0,2800.0,12.0,2.75582e-10,1.37746e-10
14.0,11.0,2300.0,12.0,2.17603e-10,1.12557e-10
14.0,14.0,3200.0,14.0,2.20741e-10,1.16238e-10
14.0,14.0,3900.0,12.0,2.18682e-10,1.13718e-10
15.0,21.0,2400.0,15.0,2.50691e-10,1.30849e-10
19.0,16.0,3600.0,19.0,3.80696e-10,1.87444e-10
18.0,17.0,3400.0,20.0,3.47487e-10,1.74683e-10
16.0,14.0,2400.0,21.0,2.85065e-10,1.49226e-10
14.0,14.0,3200.0,20.0,2.28178e-10,1.24528e-10
17.0,19.0,3700.0,16.0,3.11092e-10,1.56462e-10
15.0,16.0,3300.0,14.0,2.48359e-10,1.28115e-10
13.0,17.0,2500.0,15.0,1.97448e-10,1.07918e-10
11.0,15.0,2900.0,16.0,1.53042e-10,8.9347e-11
11.0,19.0,3400.0,18.0,1.5676e-10,9.3244e-11
19.0,13.0,3700.0,15.0,3.76197e-10,1.81536e-10
20.0,19.0,2700.0,18.0,4.15722e-10,2.00901e-10
12.0,11.0,3000.0,17.0,1.75566e-10,9.94375e-11
11.0,13.0,3700.0,17.0,1.54461e-10,9.07108e-11
11.0,21.0,2300.0,11.0,1.48749e-10,8.46586e-11
11.0,18.0,2900.0,13.0,1.5029e-10,8.64178e-11
18.0,19.0,2900.0,15.0,3.42707e-10,1.68588e-10
13.0,21.0,2400.0,13.0,1.96168e-10,1.06407e-10
19.0,17.0,3900.0,12.0,3.74353e-10,1.78446e-10
11.0,16.0,2500.0,18.0,1.55556e-10,9.20413e-11
14.0,11.0,3500.0,15.0,2.21904e-10,1.17439e-10
21.0,13.0,2800.0,11.0,4.47954e-10,2.06854e-10
18.0,14.0,2800.0,19.0,3.45853e-10,1.72715e-10
21.0,13.0,2700.0,14.0,4.4921e-10,2.09975e-10
20.0,14.0,3400.0,17.0,4.14349e-10,1.9904e-10
16.0,14.0,2200.0,21.0,2.84902e-10,1.49089e-10
17.0,12.0,2100.0,12.0,3.0496e-10,1.48746e-10
11.0,11.0,2600.0,11.0,1.46044e-10,8.17244e-11
18.0,17.0,3800.0,12.0,3.39653e-10,1.64247e-10
19.0,20.0,2400.0,13.0,3.75421e-10,1.80111e-10
19.0,17.0,2300.0,19.0,3.80361e-10,1.87153e-10
17.0,20.0,2400.0,15.0,3.09967e-10,1.55088e-10
14.0,14.0,3700.0,19.0,2.27368e-10,1.23593e-10
21.0,19.0,2800.0,13.0,4.50184e-10,2.1055e-10
12.0,15.0,2800.0,21.0,1.81411e-10,1.05711e-10
14.0,16.0,2900.0,15.0,2.22559e-10,1.18341e-10
17.0,16.0,4000.0,21.0,3.16561e-10,1.62878e-10
11.0,12.0,3000.0,17.0,1.53963e-10,9.02071e-11
18.0,13.0,2700.0,21.0,3.48157e-10,1.75416e-10
13.0,18.0,2100.0,13.0,1.95031e-10,1.05219e-10
13.0,19.0,3800.0,19.0,2.0335e-10,1.14269e-10
14.0,21.0,3300.0,13.0,2.21887e-10,1.17388e-10
16.0,16.0,3600.0,21.0,2.85891e-10,1.5009e-10
12.0,16.0,2100.0,20.0,1.79442e-10,1.03808e-10
17.0,19.0,3700.0,15.0,3.10393e-10,1.55483e-10
21.0,19.0,3900.0,11.0,4.49714e-10,2.08767e-10
14.0,15.0,2900.0,18.0,2.25777e-10,1.21978e-10
12.0,19.0,2200.0,20.0,1.80264e-10,1.04698e-10
21.0,20.0,4000.0,18.0,4.54219e-10,2.16965e-10
18.0,14.0,2500.0,11.0,3.38077e-10,1.62053e-10
11.0,16.0,3900.0,13.0,1.49996e-10,8.60468e-11
18.0,19.0,3300.0,17.0,3.44846e-10,1.71361e-10
11.0,15.0,2200.0,12.0,1.47732e-10,8.37144e-11
21.0,15.0,3400.0,19.0,4.54588e-10,2.1754e-10
15.0,15.0,2900.0,20.0,2.55253e-10,1.36047e-10
20.0,16.0,2500.0,19.0,4.16322e-10,2.01737e-10
21.0,11.0,2900.0,13.0,4.48617e-10,2.08781e-10
18.0,12.0,3400.0,17.0,3.43539e-10,1.69796e-10
