Wpmos_in,L_Radius,Cin_OD,Wnmos_follower,center_freq,Output Impedance (Rout),Power(mW),Gain,spectrum_sfdr,spectrum_snr,spectrum_enob
30,12e-6,40e-15,20,28.4e9,47.94,14.06,865.3e-3,54.04,57.7,9.292
30,12e-6,70e-15,15,28e9,51.83,14.13,-946.9e-3,55.92,59.33,9.561
30,12e-6,70e-15,10,29.6e9,58.1,14.15,-3.047,54.29,57.93,9.33
30,12e-6,70e-15,12,29.2e9,54.63,14.14,-2.063,54.97,58.57,9.436
30,12e-6,70e-15,14,28.4e9,52.51,14.14,-1.285,55.77,59.25,9.549
30,12e-6,70e-15,16,28e9,51.2,14.13,-654.2e-3,55.86,59.18,9.537
30,12e-6,70e-15,18,27.2e9,50.38,14.12,-132.1e-3,55.24,58.45,9.415
30,12e-6,70e-15,20,26.8e9,49.86,14.11,313.6e-3,54.52,57.69,9.289
30,12e-6,100e-15,15,27.2e9,53.02,14.15,-1.932,55.11,57.95,9.334
30,12e-6,100e-15,10,28.8e9,58.99,14.16,-4.371,53.99,57.36,9.234
30,12e-6,100e-15,12,28e9,55.69,14.16,-3.24,54.53,57.62,9.277
30,12e-6,100e-15,14,27.6e9,53.66,14.15,-2.334,54.91,57.81,9.309
30,12e-6,100e-15,16,26.8e9,52.39,14.15,-1.587,55.39,58.18,9.371
30,12e-6,100e-15,18,26.4e9,51.57,14.14,-958.1e-3,56.25,58.93,9.496
30,12e-6,100e-15,20,26e9,51.03,14.13,-425.2e-3,56.97,59.49,9.589
30,14e-6,10e-15,15,29.2e9,51.74,13.9,1.117,54.53,58.11,9.359
30,14e-6,10e-15,10,30.4e9,58.7,13.93,200.8e-3,53.67,57.22,9.212
30,14e-6,10e-15,12,30e9,54.93,13.93,633.7e-3,53.79,57.38,9.238
30,14e-6,10e-15,14,29.2e9,52.55,13.91,971.2e-3,54.28,57.87,9.32
30,14e-6,10e-15,16,28.8e9,51.05,13.89,1.248,54.64,58.2,9.374
30,14e-6,10e-15,18,28.4e9,50.12,13.87,1.483,57.52,60.73,9.795
30,14e-6,10e-15,20,28e9,49.56,13.85,1.686,59.31,61.82,9.975
30,14e-6,10e-15,15,29.2e9,51.74,13.9,1.117,54.53,58.11,9.359
30,14e-6,10e-15,10,30.4e9,58.7,13.93,200.8e-3,53.67,57.22,9.212
30,14e-6,10e-15,12,30e9,54.93,13.93,633.7e-3,53.79,57.38,9.238
30,14e-6,10e-15,14,29.2e9,52.55,13.91,971.2e-3,54.28,57.87,9.32
30,14e-6,10e-15,16,28.8e9,51.05,13.89,1.248,54.64,58.2,9.374
30,14e-6,10e-15,18,28.4e9,50.12,13.87,1.483,57.52,60.73,9.795
30,14e-6,10e-15,20,28e9,49.56,13.85,1.686,59.31,61.82,9.975
30,14e-6,40e-15,15,27.2e9,54.67,14.02,696.7e-3,52.63,56.32,9.063
30,14e-6,40e-15,10,28.4e9,60.92,14.05,-852.8e-3,54,57.72,9.294
30,14e-6,40e-15,12,28e9,57.52,14.04,-120.5e-3,53.74,57.46,9.252
30,14e-6,40e-15,14,27.6e9,55.37,14.03,447e-3,52.97,56.68,9.122
30,14e-6,40e-15,16,26.8e9,54,14.01,905.9e-3,52.44,56.12,9.028
30,14e-6,40e-15,18,26.4e9,53.1,13.99,1.288,52.92,56.55,9.1
30,14e-6,40e-15,20,26e9,52.5,13.98,1.61,54.58,58.13,9.363
30,14e-6,70e-15,15,26e9,56.4,14.07,-101.1e-3,55.81,58.29,9.39
30,14e-6,70e-15,10,27.2e9,62.28,14.1,-2.136,57.12,59.96,9.667
30,14e-6,70e-15,12,26.8e9,59.09,14.09,-1.186,56.65,59.16,9.534
30,14e-6,70e-15,14,26e9,57.05,14.08,-433.8e-3,56.17,58.59,9.439
30,14e-6,70e-15,16,25.6e9,55.73,14.07,181.9e-3,55.49,58.05,9.349
30,14e-6,70e-15,18,25.2e9,54.83,14.06,695.3e-3,54.62,57.4,9.242
30,14e-6,70e-15,20,24.8e9,54.18,14.05,1.13,53.72,56.75,9.133
30,14e-6,100e-15,15,25.2e9,57.44,14.1,-1.038,59.84,60.34,9.729
30,14e-6,100e-15,10,26.4e9,63.14,14.12,-3.411,54.08,56.96,9.168
30,14e-6,100e-15,12,25.6e9,60.05,14.11,-2.314,57.09,59.24,9.547
30,14e-6,100e-15,14,25.2e9,58.08,14.1,-1.427,60.69,61.12,9.859
30,14e-6,100e-15,16,24.8e9,56.76,14.09,-695e-3,58.03,59.02,9.51
30,14e-6,100e-15,18,24.4e9,55.84,14.09,-78.53e-3,54.85,56.69,9.123
30,14e-6,100e-15,20,24e9,55.16,14.08,448.5e-3,52.8,55.24,8.883
30,16e-6,10e-15,15,26.8e9,55.83,13.76,1.734,54.01,57.14,9.198
30,16e-6,10e-15,10,28e9,62.38,13.8,861.3e-3,55.7,59.15,9.532
30,16e-6,10e-15,12,27.6e9,58.86,13.79,1.272,61.22,63.29,10.22
30,16e-6,10e-15,14,27.2e9,56.59,13.77,1.594,57.32,59.95,9.666
30,16e-6,10e-15,16,26.8e9,55.12,13.75,1.86,51.48,54.85,8.818
30,16e-6,10e-15,18,26.4e9,54.15,13.74,2.087,54.86,57.78,9.304
30,16e-6,10e-15,20,26e9,53.5,13.73,2.285,58.8,60.72,9.793
30,16e-6,10e-15,15,26.8e9,55.83,13.76,1.734,54.01,57.14,9.198
30,16e-6,10e-15,10,28e9,62.38,13.8,861.3e-3,55.7,59.15,9.532
30,16e-6,10e-15,12,27.6e9,58.86,13.79,1.272,61.22,63.29,10.22
30,16e-6,10e-15,14,27.2e9,56.59,13.77,1.594,57.32,59.95,9.666
30,16e-6,10e-15,16,26.8e9,55.12,13.75,1.86,51.48,54.85,8.818
30,16e-6,10e-15,18,26.4e9,54.15,13.74,2.087,54.86,57.78,9.304
30,16e-6,10e-15,20,26e9,53.5,13.73,2.285,58.8,60.72,9.793
30,16e-6,40e-15,15,25.2e9,58.63,13.96,1.388,55.58,58.83,9.479
30,16e-6,40e-15,10,26e9,64.65,13.99,-100.8e-3,52.11,55.78,8.972
30,16e-6,40e-15,12,26e9,61.43,13.97,600.5e-3,52.44,55.99,9.008
30,16e-6,40e-15,14,25.6e9,59.32,13.96,1.147,54.31,57.67,9.287
30,16e-6,40e-15,16,25.2e9,57.91,13.95,1.59,56.51,59.65,9.615
30,16e-6,40e-15,18,24.8e9,56.93,13.94,1.96,56.05,59.35,9.566
30,16e-6,40e-15,20,24.4e9,56.2,13.94,2.274,57.95,61.17,9.867
30,16e-6,70e-15,15,24e9,60.19,14.03,655.4e-3,52.71,55.72,8.962
30,16e-6,70e-15,10,25.2e9,65.96,14.05,-1.313,59.32,60.59,9.772
30,16e-6,70e-15,12,24.8e9,62.89,14.04,-394.1e-3,56.23,58.54,9.431
30,16e-6,70e-15,14,24.4e9,60.86,14.03,335.1e-3,53.41,56.3,9.059
30,16e-6,70e-15,16,24e9,59.46,14.03,932.4e-3,52.3,55.39,8.908
