CP_out_width,nor_n_width,nor_p_width,tspc_n_width,tspc_p_width,vdd,deadzone,power
7.2e-07,2.25e-07,4.4e-07,2.5e-07,4.4e-07,1.0,-1.6143e-12,0.0051763
7.2e-07,2.25e-07,4.4e-07,2.75e-07,3.6e-07,0.8,4.4821e-12,0.0030192
7.2e-07,2.25e-07,4.4e-07,2.75e-07,3.6e-07,0.9,1.6803e-13,0.0039808
7.2e-07,2.25e-07,4.4e-07,2.75e-07,3.6e-07,1.0,-1.6448e-12,0.0051694
7.2e-07,2.25e-07,4.4e-07,2.75e-07,4e-07,0.8,4.3191e-12,0.0030273
7.2e-07,2.25e-07,4.4e-07,2.75e-07,4e-07,0.9,1.6512e-13,0.0039906
7.2e-07,2.25e-07,4.4e-07,2.75e-07,4e-07,1.0,-1.5398e-12,0.0051821
7.2e-07,2.25e-07,4.4e-07,2.75e-07,4.4e-07,0.8,4.178e-12,0.0030353
7.2e-07,2.25e-07,4.4e-07,2.75e-07,4.4e-07,0.9,1.5564e-13,0.0040005
7.2e-07,2.25e-07,4.4e-07,2.75e-07,4.4e-07,1.0,-1.452e-12,0.0051951
7.2e-07,2.5e-07,3.6e-07,2.25e-07,3.6e-07,0.8,4.1314e-12,0.0029945
7.2e-07,2.5e-07,3.6e-07,2.25e-07,3.6e-07,0.9,-2.5737e-13,0.0039469
7.2e-07,2.5e-07,3.6e-07,2.25e-07,3.6e-07,1.0,-2.0117e-12,0.0051248
7.2e-07,2.5e-07,3.6e-07,2.25e-07,4e-07,0.8,3.9683e-12,0.0030024
7.2e-07,2.5e-07,3.6e-07,2.25e-07,4e-07,0.9,-2.9327e-13,0.0039566
7.2e-07,2.5e-07,3.6e-07,2.25e-07,4e-07,1.0,-1.9316e-12,0.0051375
7.2e-07,2.5e-07,3.6e-07,2.25e-07,4.4e-07,0.8,3.8325e-12,0.0030103
7.2e-07,2.5e-07,3.6e-07,2.25e-07,4.4e-07,0.9,-3.3112e-13,0.0039665
7.2e-07,2.5e-07,3.6e-07,2.25e-07,4.4e-07,1.0,-1.8669e-12,0.0051503
7.2e-07,2.5e-07,3.6e-07,2.5e-07,3.6e-07,0.8,4.4038e-12,0.0030043
7.2e-07,2.5e-07,3.6e-07,2.5e-07,3.6e-07,0.9,1.7855e-15,0.0039609
7.2e-07,2.5e-07,3.6e-07,2.5e-07,3.6e-07,1.0,-1.8504e-12,0.0051434
7.2e-07,2.5e-07,3.6e-07,2.5e-07,4e-07,0.8,4.2469e-12,0.0030123
7.2e-07,2.5e-07,3.6e-07,2.5e-07,4e-07,0.9,-1.0356e-14,0.0039708
7.2e-07,2.5e-07,3.6e-07,2.5e-07,4e-07,1.0,-1.753e-12,0.0051562
7.2e-07,2.5e-07,3.6e-07,2.5e-07,4.4e-07,0.8,4.1138e-12,0.0030202
7.2e-07,2.5e-07,3.6e-07,2.5e-07,4.4e-07,0.9,-2.8138e-14,0.0039807
7.2e-07,2.5e-07,3.6e-07,2.5e-07,4.4e-07,1.0,-1.6749e-12,0.0051691
7.2e-07,2.5e-07,3.6e-07,2.75e-07,3.6e-07,0.8,4.6516e-12,0.0030141
7.2e-07,2.5e-07,3.6e-07,2.75e-07,3.6e-07,0.9,2.0058e-13,0.003975
7.2e-07,2.5e-07,3.6e-07,2.75e-07,3.6e-07,1.0,-1.7137e-12,0.005162
7.2e-07,2.5e-07,3.6e-07,2.75e-07,4e-07,0.8,4.4915e-12,0.0030221
7.2e-07,2.5e-07,3.6e-07,2.75e-07,4e-07,0.9,2.1067e-13,0.0039849
7.2e-07,2.5e-07,3.6e-07,2.75e-07,4e-07,1.0,-1.6042e-12,0.0051749
7.2e-07,2.5e-07,3.6e-07,2.75e-07,4.4e-07,0.8,4.3632e-12,0.0030301
7.2e-07,2.5e-07,3.6e-07,2.75e-07,4.4e-07,0.9,2.1194e-13,0.0039949
7.2e-07,2.5e-07,3.6e-07,2.75e-07,4.4e-07,1.0,-1.5159e-12,0.0051879
7.2e-07,2.5e-07,4e-07,2.25e-07,3.6e-07,0.8,4.0528e-12,0.0029976
7.2e-07,2.5e-07,4e-07,2.25e-07,3.6e-07,0.9,-2.7218e-13,0.0039504
7.2e-07,2.5e-07,4e-07,2.25e-07,3.6e-07,1.0,-1.9753e-12,0.0051293
7.2e-07,2.5e-07,4e-07,2.25e-07,4e-07,0.8,3.8841e-12,0.0030055
7.2e-07,2.5e-07,4e-07,2.25e-07,4e-07,0.9,-3.1457e-13,0.0039602
7.2e-07,2.5e-07,4e-07,2.25e-07,4e-07,1.0,-1.8983e-12,0.005142
7.2e-07,2.5e-07,4e-07,2.25e-07,4.4e-07,0.8,3.7403e-12,0.0030135
7.2e-07,2.5e-07,4e-07,2.25e-07,4.4e-07,0.9,-3.6006e-13,0.00397
7.2e-07,2.5e-07,4e-07,2.25e-07,4.4e-07,1.0,-1.8335e-12,0.0051549
7.2e-07,2.5e-07,4e-07,2.5e-07,3.6e-07,0.8,4.3277e-12,0.0030074
7.2e-07,2.5e-07,4e-07,2.5e-07,3.6e-07,0.9,-1.3888e-14,0.0039645
7.2e-07,2.5e-07,4e-07,2.5e-07,3.6e-07,1.0,-1.8156e-12,0.005148
7.2e-07,2.5e-07,4e-07,2.5e-07,4e-07,0.8,4.1629e-12,0.0030154
7.2e-07,2.5e-07,4e-07,2.5e-07,4e-07,0.9,-3.0086e-14,0.0039743
7.2e-07,2.5e-07,4e-07,2.5e-07,4e-07,1.0,-1.7221e-12,0.0051608
7.2e-07,2.5e-07,4e-07,2.5e-07,4.4e-07,0.8,4.0223e-12,0.0030234
